phrase	n	count	loglik	pages	proper	example	loose_key	head_key
ammianus marcellinus	2	3	62.34	3	True	Ammianus Marcellinus	ammian marcellin	marcellin
nomen accepit	2	6	62.32	6	False	nomen accepit	nomen accepit	accepit
hodiernum diem	2	4	62.04	4	False	hodiernum diem	hodiern di	di
ripam fluminis	2	4	61.7	4	False	ripam fluminis	rip flumin	flumin
bene vivendi	2	4	61.56	3	False	bene vivendi	ben vivend	vivend
totius britanniae	2	8	61.45	7	False	totius Britanniae	toti britanni	britanni
lamina plumbea	2	3	61.1	2	False	lamina plumbea	lamin plumbe	plumbe
petrus cratepolius	2	4	61.01	4	True	Petrus Cratepolius	petr cratepoli	cratepoli
martyrologio romano	2	5	60.69	5	False	martyrologio Romano	martyrologi roman	roman
potest homo	2	5	60.52	4	False	potest homo	potest hom	hom
landavensis ecclesiae	2	6	60.46	6	False	Landavensis Ecclesiae	landavens ecclesi	ecclesi
quicunque dixerit	2	4	60.46	2	False	quicunque dixerit	quicun dixerit	dixerit
romanum pontificem	2	4	60.38	4	False	Romanum pontificem	roman pontific	pontific
mense martio	2	3	60.08	3	False	mense Martio	mens marti	marti
dono perseverantiae	2	3	60.08	3	False	dono perseverantiae	don perseveranti	perseveranti
facile custodire	2	4	60.03	4	False	facile custodire	facil custodir	custodir
anglorum regis	2	8	59.83	7	False	Anglorum regis	angl reg	reg
gloriosae virginis	2	4	59.7	4	False	gloriosae virginis	glorios virgin	virgin
florentio wigorniensi	2	3	59.43	3	True	Florentio Wigorniensi	florenti wigorniens	wigorniens
verisimilitudinis colore	2	3	59.43	3	False	verisimilitudinis colore	verisimilitudin color	color
posse hominem	2	6	59.33	6	False	posse hominem	poss homin	homin
johannes trithemius	2	5	59.3	5	True	Johannes Trithemius	johann trithemi	trithemi
johannes leidensis	2	5	59.3	5	True	Johannes Leidensis	johann leidens	leidens
duos religiosos	2	4	59.09	3	False	duos religiosos	du religios	religios
passuum millibus	2	4	58.9	4	False	passuum millibus	passu mill	mill
historiae libro	2	8	58.85	8	False	historiae libro	histori libr	libr
capite tertio	2	6	58.65	6	False	capite tertio	capit terti	terti
montis cacumine	2	3	58.45	3	False	montis cacumine	mont cacumin	cacumin
timothei presbyteri	2	4	58.43	2	False	Timothei presbyteri	timothe presbyter	presbyter
suae historiae	2	7	58.16	7	False	suae historiae	su histori	histori
lirinensis coenobii	2	4	58.01	3	False	Lirinensis coenobii	lirinens coenobi	coenobi
honorem sancti	2	6	57.95	6	False	honorem sancti	honor sanct	sanct
caradocus lancarvanensis	2	3	57.85	3	True	Caradocus Lancarvanensis	caradoc lancarvanens	lancarvanens
dilectionem vestram	2	3	57.77	3	False	dilectionem vestram	dilection vestr	vestr
rex lucius	2	6	57.66	5	False	rex Lucius	rex luci	luci
eleutherius papa	2	4	57.28	4	False	Eleutherius papa	eleutheri pap	pap
universum orbem	2	4	57.23	4	False	universum orbem	univers orb	orb
londinensis episcopus	2	5	57.21	5	False	Londinensis episcopus	londinens episcop	episcop
honoratus massiliensis	2	3	57.2	3	True	Honoratus Massiliensis	honorat massiliens	massiliens
soluta oratione	2	3	57.17	3	False	soluta oratione	solut oration	oration
integrum expleto	2	3	57.17	3	False	integrum expleto	integr explet	explet
historiae suae	2	7	56.93	7	False	historiae suae	histori su	su
