head_key	phrase	count	pages	proper	example
beverlacens	alphredus beverlacensis	4	3	False	Alphredus Beverlacensis
bibliothec	cottonianae bibliothecae	3	3	False	Cottonianae bibliothecae
bibliothec	cottoniana bibliotheca	3	3	False	Cottoniana bibliotheca
bibliothec	habetur in bibliotheca	3	3	False	habetur in bibliotheca
bini	severinus binius	3	3	True	Severinus Binius
boethi	hector boethius	15	15	True	Hector Boethius
boreal	parte boreali	3	2	False	parte boreali
bosc	johannes bosco	3	3	True	Johannes Bosco
bremens	adamus bremensis	3	3	True	Adamus Bremensis
brit	pelagius brito	5	5	True	Pelagius Brito
britanni	anglorum in britanniam	3	2	False	Anglorum in Britanniam
britanni	dextralis britanniae	4	4	False	dextralis Britanniae
britanni	locis britanniae	3	3	False	locis Britanniae
britanni	majore britannia	3	3	False	majore Britannia
britanni	millibus armatorum sibi sociatis in britanniam	3	2	False	millibus armatorum sibi sociatis in Britanniam
britanni	misit in britanniam	3	3	False	misit in Britanniam
britanni	regis britanniae	6	6	False	regis Britanniae
britanni	rege britanniae	3	3	False	rege Britanniae
britanni	regno britanniae	5	5	False	regno Britanniae
britanni	regnavit in britannia	3	2	False	regnavit in Britannia
britanni	rex britanniae	5	5	False	rex Britanniae
britanni	saxonum in britanniam	3	3	False	Saxonum in Britanniam
britanni	sociatis in britanniam	3	2	False	sociatis in Britanniam
britanni	totam britanniam	6	5	False	totam Britanniam
britanni	totius britanniae	8	7	False	totius Britanniae
britanni	venerunt in britanniam	4	2	False	venerunt in Britanniam
britannic	historia britannica	7	7	False	historia Britannica
britannic	historiae britannicae	6	6	False	Historiae Britannicae
britannic	regis britannici	3	3	False	regis Britannici
britannic	regni britannici	4	4	False	regni Britannici
briton	armoricanorum britonum	3	2	True	Armoricanorum Britonum
briton	historia britonum	4	4	False	historia Britonum
briton	regis britonum	6	6	False	regis Britonum
briton	tempore britonum	4	4	False	Tempore Britonum
cacumin	montis cacumine	3	3	False	montis cacumine
caesar	legatis caesaris	3	3	False	legatis Caesaris
cai	johannes caius	11	11	True	Johannes Caius
cair	britannis cair	3	2	True	Britannis Cair
calend	pridie calendas	3	3	False	pridie Calendas
cambrens	giraldus cambrensis	10	10	True	Giraldus Cambrensis
cambrens	giraldo cambrensi	4	4	True	Giraldo Cambrensi
camden	guilielmus camdenus	8	8	True	Guilielmus Camdenus
canonic	sanctorum canonicorum	3	3	False	sanctorum canonicorum
cantabrigi	historiola cantabrigiae	3	3	False	historiola Cantabrigiae
cantelup	nicolaus cantelupus	3	3	True	Nicolaus Cantelupus
cantuariens	archiepiscopo cantuariensi	3	3	False	archiepiscopo Cantuariensi
capgravi	johannes capgravius	7	7	True	Johannes Capgravius
capgravi	johanne capgravio	3	3	True	Johanne Capgravio
